id,ageRating,countries,genres,name,updatedAt,year,sequelsAndPrequels,createdAt,networks,audience,totalSeriesLength,rating_kp,rating_imdb,rating_tmdb,rating_filmCritics,rating_russianFilmCritics,rating_await,fees_world_value,fees_world_currency,fees_russia_value,fees_russia_currency,fees_usa_value,fees_usa_currency,budget_value,budget_currency,votes_kp,votes_imdb,votes_tmdb,votes_filmCritics,votes_russianFilmCritics,votes_await,genres_str,genre_count,countries_str,audience_total,has_sequel
1210229,,[{'name': 'США'}],"[{'name': 'короткометражка'}, {'name': 'музыка'}]",Муравьиная голова,2026-02-27T03:17:51.305Z,2018,[],2019-01-01T00:00:00.000Z,,,,5.709,5.2,,0.0,0.0,0,0.0,,,,,,,,362,547,,0,0,0,"короткометражка, музыка",2,США,0,False
1210184,18.0,[{'name': 'Франция'}],[{'name': 'комедия'}],Клуб холостяков,2026-03-01T22:38:01.150Z,2020,,2026-01-01T22:07:25.650Z,,,,6.592,5.4,,0.0,0.0,0,5316313.0,$,,,,,,,7347,1500,,0,0,0,комедия,1,Франция,0,False
1210206,18.0,"[{'name': 'Чехия'}, {'name': 'Германия'}, {'name': 'Словакия'}]","[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'семейный'}]",Узелки и апельсины,2026-02-25T03:08:02.899Z,2019,,2025-12-29T19:30:50.688Z,,,,6.375,5.8,,0.0,0.0,0,0.0,,,,,,,,174,93,,0,0,0,"драма, мелодрама, семейный",3,"Чехия, Германия, Словакия",0,False
1210006,18.0,"[{'name': 'Германия'}, {'name': 'Израиль'}]","[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'комедия'}]",Кошерный поцелуй,2026-02-28T09:41:00.654Z,2020,,2019-01-01T00:00:00.000Z,,,,5.863,5.9,,0.0,0.0,0,0.0,,,,,,,,261,794,,0,0,0,"драма, мелодрама, комедия",3,"Германия, Израиль",0,False
1210068,18.0,[{'name': 'США'}],"[{'name': 'триллер'}, {'name': 'драма'}]",Франкенштейн. Начало,2026-03-01T18:05:09.955Z,2020,,2024-04-13T06:17:59.614Z,{'items': [{'name': 'Shudder'}]},,,4.929,3.7,,5.4,0.0,0,0.0,,,,,,,,1102,388,,33,0,0,"триллер, драма",2,США,0,False
1209897,12.0,"[{'name': 'Россия'}, {'name': 'Беларусь'}]",[{'name': 'мелодрама'}],Пока бьётся сердце,2026-02-22T12:05:46.148Z,2018,,2022-04-03T00:47:15.696Z,,,,5.492,0.0,,0.0,0.0,0,0.0,,,,,,,,538,0,,0,0,0,мелодрама,1,"Россия, Беларусь",0,False
1209889,18.0,[{'name': 'США'}],[{'name': 'документальный'}],Назови ее имя: Жизнь и смерть Сандры Бланд,2026-02-27T03:33:38.763Z,2018,,2024-04-13T06:59:43.375Z,,,,6.508,7.1,6.846,0.0,0.0,0,0.0,,,,,,,,174,783,13.0,0,0,0,документальный,1,США,0,False
1209777,18.0,"[{'name': 'Россия'}, {'name': 'Германия'}, {'name': 'Беларусь'}]","[{'name': 'драма'}, {'name': 'военный'}, {'name': 'история'}]",Уроки фарси,2026-03-01T18:06:21.430Z,2020,,2024-04-13T01:40:59.286Z,,"[{'count': 49586, 'country': 'Россия'}]",,7.953,7.4,,6.4,94.7368,0,4849240.0,$,255728.0,$,,,,,446008,15000,,49,19,0,"драма, военный, история",3,"Россия, Германия, Беларусь",0,False
1209744,,[{'name': 'Корея Южная'}],"[{'name': 'боевик'}, {'name': 'криминал'}]",Сестра,2026-02-24T16:07:22.682Z,2018,,2019-01-01T00:00:00.000Z,,"[{'count': 198377, 'country': 'Корея Южная'}]",,5.806,5.7,,0.0,0.0,0,1558387.0,$,,,,,,,730,1400,,0,0,0,"боевик, криминал",2,Корея Южная,0,False
1209722,,[{'name': 'Корея Южная'}],[{'name': 'комедия'}],Тайный зоопарк,2026-02-27T16:00:53.870Z,2019,,2019-01-01T00:00:00.000Z,,"[{'count': 1224726, 'country': 'Корея Южная'}]",,6.594,6.2,,6.0,0.0,0,10117951.0,$,,,,,8500000.0,$,788,2400,,5,0,0,комедия,1,Корея Южная,0,False
